state,district,year,residualsodiumcarbonate
Bihar,Gaya,2001,3.1398165
Bihar,Gaya,2005,2.4533334
Bihar,Gaya,2007,2.3429091
Bihar,Gaya,2008,2.2666667
Bihar,Gaya,2009,3.49
Bihar,Gaya,2010,3.2733333
Bihar,Gaya,2011,2.835
Bihar,Gaya,2012,2.6949999
Bihar,Gaya,2013,2.7
Bihar,Gaya,2016,0.0
Bihar,Gopalganj,2001,4.4000001
Bihar,Gopalganj,2007,3.1600001
Bihar,Gopalganj,2008,1.2866666
Bihar,Gopalganj,2009,1.8685714
Bihar,Gopalganj,2010,1.4514285
Bihar,Gopalganj,2011,4.9666667
Bihar,Gopalganj,2012,4.3800001
Bihar,Gopalganj,2013,3.6976311
Bihar,Gopalganj,2016,0.0
Bihar,Jamui,2011,2.2
Bihar,Jamui,2012,2.3199999
Bihar,Jamui,2013,0.79000002
Bihar,Jehanabad,2001,1.8270557
Bihar,Jehanabad,2009,8.3999996
Bihar,Jehanabad,2010,2.0599999
Bihar,Jehanabad,2011,2.3266666
Bihar,Jehanabad,2012,2.595
Bihar,Jehanabad,2013,2.5599999
Bihar,Kaimur (Bhabua),2007,1.2
Bihar,Kaimur (Bhabua),2008,0.16
Bihar,Kaimur (Bhabua),2009,3.3800001
Bihar,Kaimur (Bhabua),2010,5.2199998
Bihar,Kaimur (Bhabua),2011,5.1999998
Bihar,Kaimur (Bhabua),2012,2.724
Bihar,Kaimur (Bhabua),2013,2.3800001
Bihar,Kaimur (Bhabua),2015,-6.8000002
Bihar,Kaimur (Bhabua),2017,-21.575056
Bihar,Kaimur (Bhabua),2018,-22.761545
Bihar,Katihar,2000,1.6350851
Bihar,Katihar,2001,0.02
Bihar,Katihar,2004,0.91499996
Bihar,Katihar,2005,0.49000001
Bihar,Katihar,2007,0.70498562
Bihar,Katihar,2008,2.2160001
Bihar,Katihar,2009,0.44666666
Bihar,Katihar,2011,1.7971429
Bihar,Katihar,2012,3.6400001
Bihar,Katihar,2013,1.2911111
Bihar,Khagaria,2000,2.98
Bihar,Khagaria,2007,1.8
Bihar,Khagaria,2008,0.74000001
Bihar,Khagaria,2010,0.62
Bihar,Khagaria,2011,2.395
Bihar,Khagaria,2012,2.25
Bihar,Khagaria,2013,0.9066667
Bihar,Kishanganj,2004,0.85333335
Bihar,Kishanganj,2005,0.0
Bihar,Kishanganj,2008,0.91000003
Bihar,Kishanganj,2009,0.62
Bihar,Kishanganj,2011,1.3000001
Bihar,Kishanganj,2013,1.9
Bihar,Kishanganj,2018,0.0
Bihar,Lakhisarai,2000,4.1199999
Bihar,Lakhisarai,2005,3.2
Bihar,Lakhisarai,2009,3.6199999
Bihar,Lakhisarai,2010,2.6849999
Bihar,Lakhisarai,2011,2.6849999
Bihar,Lakhisarai,2012,2.3133333
Bihar,Lakhisarai,2013,2.8533332
Bihar,Madhepura,2008,0.77500004
Bihar,Madhepura,2011,1.135
Bihar,Madhepura,2012,1.92
Bihar,Madhepura,2013,1.95
Bihar,Madhepura,2016,0.0
Bihar,Madhubani,2001,2.385
Bihar,Madhubani,2004,3.6800001
Bihar,Madhubani,2006,3.1985197
Bihar,Madhubani,2008,2.5
Bihar,Madhubani,2009,1.8000001
Bihar,Madhubani,2010,2.51
Bihar,Madhubani,2011,1.7466667
Bihar,Madhubani,2012,1.4450001
Bihar,Madhubani,2013,3.77
Bihar,Munger,2005,0.62
Bihar,Munger,2007,19.58
Bihar,Munger,2008,5.8000002
Bihar,Munger,2009,1.58
Bihar,Munger,2011,5.1866665
